name;meta;coordinates
Владивосток, остановка;Железнодорожная станция;[132.041308, 43.261946]
Владивосток, остановка;Пивоваренный завод;[132.065285, 43.277613]
Владивосток, остановка;Автомойка;[131.918916, 43.136596]
Владивосток, остановка;Гостиница;[131.905753, 43.164661]
Владивосток, остановка;Хостел;[131.880989, 43.116254]
Владивосток, остановка;Магазин продуктов;[132.05092, 43.255138]
Владивосток, остановка;Гостиница;[131.911016, 43.162781]
Владивосток, остановка;Бар, паб;[131.92691, 43.127773]
Владивосток, остановка;Гостиница;[131.876879, 43.109972]
Владивосток, остановка;Ногтевая студия;[131.889197, 43.117278]
Владивосток, вокзал;Железнодорожный вокзал;[131.881487, 43.111305]
Владивосток, вокзал;Железнодорожная станция;[131.881947, 43.111365]
Владивосток, вокзал;Автовокзал, автостанция;[131.905661, 43.164781]
Владивосток, вокзал;Железнодорожный вокзал;[131.905079, 43.164201]
Владивосток, вокзал;Железнодорожный вокзал;[132.006708, 43.234793]
Владивосток, вокзал;Железнодорожный вокзал;[132.041181, 43.261912]
Владивосток, вокзал;Железнодорожный вокзал;[132.061077, 43.303672]
Владивосток, вокзал;Железнодорожный вокзал;[131.880929, 43.110328]
Владивосток, вокзал;Железнодорожный вокзал;[132.048704, 43.280359]
Владивосток, вокзал;Железнодорожный вокзал;[131.881675, 43.112117]
Владивосток, порт;Пароходство, порт;[131.867192, 43.097047]
Владивосток, порт;Перевозка грузов водным транспортом;[131.865443, 43.09756]
Владивосток, порт;Пароходство, порт;[131.865899, 43.097515]
Владивосток, порт;Логистическая компания;[131.89056, 43.101563]
Владивосток, порт;Администрация;[131.881443, 43.108665]
Владивосток, порт;Складские услуги;[131.897199, 43.08085]
Владивосток, порт;Железнодорожные грузоперевозки;[131.882098, 43.092804]
Владивосток, порт;Пароходство, порт;[131.882817, 43.111528]
Владивосток, порт;Услуги грузчиков;[131.919666, 43.103182]
Владивосток, порт;Перевозка грузов водным транспортом;[131.91609, 43.07173]
Владивосток, воинская часть;Военкомат;[131.879107, 43.108284]
Владивосток, воинская часть;Госпиталь;[131.928639, 43.175204]
Владивосток, воинская часть;Остановка общественного транспорта;[132.085593, 43.210776]
Владивосток, продуктовый магазин;Магазин продуктов;[131.920037, 43.164011]
Владивосток, продуктовый магазин;Супермаркет;[131.956138, 43.217021]
Владивосток, продуктовый магазин;Магазин продуктов;[131.993595, 43.229012]
Владивосток, продуктовый магазин;Магазин продуктов;[131.934488, 43.1284]
Владивосток, продуктовый магазин;Супермаркет;[131.915473, 43.154347]
Владивосток, продуктовый магазин;Магазин продуктов;[131.946162, 43.115952]
Владивосток, продуктовый магазин;Супермаркет;[131.9489, 43.160898]
Владивосток, продуктовый магазин;Магазин продуктов;[131.93284, 43.17097]
Владивосток, продуктовый магазин;Магазин продуктов;[131.960282, 43.119297]
Владивосток, продуктовый магазин;Магазин продуктов;[131.886556, 43.117858]
Владивосток, морской вокзал;Морские и речные вокзалы;[131.882832, 43.111539]
Владивосток, морской вокзал;Морские и речные вокзалы;[131.882916, 43.111508]
Владивосток, морской вокзал;Морские и речные вокзалы;[131.8847, 43.113616]
Владивосток, морской вокзал;Управление водными путями и их обслуживание;[131.920516, 43.068198]
Владивосток, суд;Суд;[131.889073, 43.119667]
Владивосток, суд;Суд;[131.885183, 43.117176]
Владивосток, суд;Суд;[131.916525, 43.170317]
Владивосток, суд;Суд;[131.902391, 43.096053]
Владивосток, суд;Суд;[131.908603, 43.115909]
Владивосток, суд;Суд;[131.885548, 43.116886]
Владивосток, суд;Суд;[131.914882, 43.154505]
Владивосток, суд;Суд;[131.880077, 43.118423]
Владивосток, суд;Мировой судья;[131.916015, 43.163464]
Владивосток, суд;Суд;[131.894336, 43.113763]
Владивосток, школа;Общеобразовательная школа;[131.917232, 43.165153]
Владивосток, школа;Общеобразовательная школа;[132.011583, 43.234762]
Владивосток, школа;Общеобразовательная школа;[131.950731, 43.111112]
Владивосток, школа;Частная школа;[131.945932, 43.206562]
Владивосток, школа;Общеобразовательная школа;[131.95535, 43.216287]
Владивосток, школа;Общеобразовательная школа;[131.929184, 43.118955]
Владивосток, школа;Общеобразовательная школа;[131.978354, 43.0942]
Владивосток, школа;Общеобразовательная школа;[131.943946, 43.124708]
Владивосток, школа;Общеобразовательная школа;[131.911346, 43.122038]
Владивосток, школа;Общеобразовательная школа;[131.954336, 43.116349]
Владивосток, университет;ВУЗ;[131.894427, 43.024704]
Владивосток, университет;ВУЗ;[131.90538, 43.125523]
Владивосток, университет;ВУЗ;[131.891944, 43.029167]
Владивосток, университет;ВУЗ;[131.942362, 43.128668]
Владивосток, университет;ВУЗ;[131.90538, 43.125524]
Владивосток, университет;ВУЗ;[131.892641, 43.11525]
Владивосток, университет;ВУЗ;[131.922624, 43.110944]
Владивосток, университет;ВУЗ;[131.922612, 43.110962]
Владивосток, университет;ВУЗ;[131.910177, 43.133583]
Владивосток, университет;ВУЗ;[131.9007, 43.121687]
Владивосток, колледж;Колледж;[131.941278, 43.118318]
Владивосток, колледж;Колледж;[131.923798, 43.164945]
Владивосток, колледж;Колледж;[131.908262, 43.143711]
Владивосток, колледж;Колледж;[131.927885, 43.155831]
Владивосток, колледж;Колледж;[131.945636, 43.114489]
Владивосток, колледж;Колледж;[131.904931, 43.134917]
Владивосток, колледж;Колледж;[131.909826, 43.165822]
Владивосток, колледж;Колледж;[131.910304, 43.183616]
Владивосток, колледж;Колледж;[131.965828, 43.090447]
Владивосток, колледж;Колледж;[131.897014, 43.114468]
Владивосток, общежитие;Общежитие;[131.882133, 43.12465]
Владивосток, общежитие;Общежитие;[131.900705, 43.121687]
Владивосток, общежитие;Общежитие;[131.904249, 43.125]
Владивосток, общежитие;Общежитие;[131.979826, 43.095605]
Владивосток, общежитие;Общежитие;[131.951182, 43.102331]
Владивосток, общежитие;Общежитие;[131.897968, 43.119898]
Владивосток, общежитие;Общежитие;[131.910489, 43.181079]
Владивосток, общежитие;Общежитие;[131.916783, 43.185483]
Владивосток, общежитие;Общежитие;[131.885899, 43.120554]
Владивосток, общежитие;Общежитие;[131.943825, 43.130206]
Владивосток, ночная парковка;Автомобильная парковка;[131.879721, 43.121619]
Владивосток, ночная парковка;Автомобильная парковка;[131.954973, 43.166868]
Владивосток, ночная парковка;Автомобильная парковка;[131.917653, 43.183592]
Владивосток, ночная парковка;Автомобильная парковка;[131.927346, 43.17063]
Владивосток, ночная парковка;Автомобильная парковка;[131.913989, 43.175575]
Владивосток, ночная парковка;Автомобильная парковка;[131.916337, 43.181262]
Владивосток, ночная парковка;Автомобильная парковка;[132.000675, 43.225351]
Владивосток, ночная парковка;Автомобильная парковка;[131.963333, 43.106573]
Владивосток, ночная парковка;Автомобильная парковка;[131.909761, 43.149473]
Владивосток, ночная парковка;Автомобильная парковка;[131.96034, 43.103013]
Владивосток, парк;Парк аттракционов;[131.876881, 43.120373]
Владивосток, парк;Парк культуры и отдыха;[131.979839, 43.230619]
Владивосток, парк;Горнолыжный комплекс;[132.032611, 43.25501]
Владивосток, парк;Парк культуры и отдыха;[131.912447, 43.163255]
Владивосток, парк;Парк культуры и отдыха;[131.888834, 43.124525]
Владивосток, парк;Спортивный комплекс;[131.918172, 43.10268]
Владивосток, парк;Гостиница;[131.978364, 43.225286]
Владивосток, парк;Парк культуры и отдыха;[131.942079, 43.126058]
Владивосток, парк;Парк культуры и отдыха;[131.909045, 43.12709]
Владивосток, парк;Лесопарк;[131.920501, 43.199642]
